rank,topic_id,topic,score,status,stated_parent,stated_share,plurality_parent,plurality_share,neighbour_count,input_sha256
429,T11256,Asian Studies and History,0.03333333333333333,review,Sociology and Political Science,0.09999999999999999,Political Science and International Relations,0.39999999999999997,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
430,T11278,Calcium Carbonate Crystallization and Inhibition,0.03333333333333333,review,Biomaterials,0.075,Mechanics of Materials,0.55,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
431,T11297,Ferroptosis and cancer prognosis,0.03333333333333333,review,Pulmonary and Respiratory Medicine,0.0,Molecular Biology,0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
432,T11312,Soil Moisture and Remote Sensing,0.03333333333333333,review,Environmental Engineering,0.0,Global and Planetary Change,0.40714285714285714,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
433,T11326,Stock Market Forecasting Methods,0.03333333333333333,review,Management Science and Operations Research,0.0,Artificial Intelligence,0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
434,T11344,Traffic Prediction and Management Techniques,0.03333333333333333,review,Building and Construction,0.0,Artificial Intelligence,0.25,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
435,T11349,Music Technology and Sound Studies,0.03333333333333333,review,Computer Vision and Pattern Recognition,0.0,Artificial Intelligence,0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
436,T11396,Artificial Intelligence in Healthcare,0.03333333333333333,review,Health Information Management,0.0,Artificial Intelligence,0.2833333333333333,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
437,T11397,"Populism, Right-Wing Movements",0.03333333333333333,review,Political Science and International Relations,0.0,Sociology and Political Science,0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
438,T11398,Hand Gesture Recognition Systems,0.03333333333333333,review,Human-Computer Interaction,0.0,Computer Vision and Pattern Recognition,0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
439,T11488,Climate Change Communication and Perception,0.03333333333333333,review,Sociology and Political Science,0.0,Global and Planetary Change,0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
440,T11532,Chemokine receptors and signaling,0.03333333333333333,review,Oncology,0.0,Immunology,0.31666666666666665,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
441,T12234,Mollusks and Parasites Studies,0.03333333333333333,review,Insect Science,0.0,Ecology,0.35625,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
442,T12411,Shoulder and Clavicle Injuries,0.03333333333333333,review,Epidemiology,0.2111111111111111,Surgery,0.5277777777777778,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
443,T12507,"Utopian, Dystopian, and Speculative Fiction",0.03333333333333333,review,Philosophy,0.0,Sociology and Political Science,0.40714285714285714,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
444,T12565,Physics and Engineering Research Articles,0.03333333333333333,review,Computational Mechanics,0.0,"Renewable Energy, Sustainability and the Environment",0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
445,T12583,Food Waste Reduction and Sustainability,0.03333333333333333,review,Food Science,0.0,Global and Planetary Change,0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
446,T12689,Silymarin and Mushroom Poisoning,0.03333333333333333,review,Pulmonary and Respiratory Medicine,0.0,Nutrition and Dietetics,0.2833333333333333,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
447,T12726,Philosophical and Cultural Analysis,0.03333333333333333,review,Philosophy,0.10181818181818182,Classics,0.20363636363636364,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
448,T12859,Cell Image Analysis Techniques,0.03333333333333333,review,Biophysics,0.0,Artificial Intelligence,0.2833333333333333,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
449,T12865,Tailings Management and Properties,0.03333333333333333,review,Civil and Structural Engineering,0.0,"Management, Monitoring, Policy and Law",0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
450,T12972,German Colonialism and Identity Studies,0.03333333333333333,review,Literature and Literary Theory,0.23529411764705885,Sociology and Political Science,0.35294117647058826,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
451,T13000,World Systems and Global Transformations,0.03333333333333333,review,Political Science and International Relations,0.18888888888888888,Sociology and Political Science,0.4722222222222222,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
452,T13069,Cocoa and Sweet Potato Agronomy,0.03333333333333333,review,Horticulture,0.0,Forestry,0.35625,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
453,T13152,French Language Learning Methods,0.03333333333333333,review,Linguistics and Language,0.06,Education,0.44,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
454,T13185,Phytochemistry and Bioactive Compounds,0.03333333333333333,review,Biomaterials,0.0,Molecular Biology,0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
455,T13190,Engineering and Environmental Studies,0.03333333333333333,review,Ocean Engineering,0.0,Economics and Econometrics,0.26842105263157895,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
456,T13202,Pharmacology and Nanomedicine Research,0.03333333333333333,review,Drug Discovery,0.0,Complementary and alternative medicine,0.3536496350364964,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
457,T13222,"Caribbean history, culture, and politics",0.03333333333333333,review,Cultural Studies,0.17647058823529413,Literature and Literary Theory,0.29411764705882354,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
458,T13435,Animal and Plant Science Education,0.03333333333333333,review,Social Psychology,0.0,Ecology,0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
459,T13460,Historical Studies in Latin America,0.03333333333333333,review,Demography,0.0,Sociology and Political Science,0.33431085043988273,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
460,T13513,Urban and sociocultural dynamics,0.03333333333333333,review,Urban Studies,0.0,Sociology and Political Science,0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
461,T13562,Cruise Tourism Development and Management,0.03333333333333333,review,Transportation,0.0,Global and Planetary Change,0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
462,T13593,Historical and Archaeological Studies,0.03333333333333333,review,History,0.0,Archeology,0.3536496350364964,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
463,T13630,Agriculture Market Analysis Ukraine,0.03333333333333333,review,General Agricultural and Biological Sciences,0.09999999999999999,Economics and Econometrics,0.39999999999999997,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
464,T13654,Urban Planning and Landscape Design,0.03333333333333333,review,"Management, Monitoring, Policy and Law",0.0,Global and Planetary Change,0.31666666666666665,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
465,T13669,China's Global Influence and Migration,0.03333333333333333,review,Anthropology,0.09999999999999999,Sociology and Political Science,0.39999999999999997,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
466,T13755,Global socioeconomic and cultural dynamics,0.03333333333333333,review,"Geography, Planning and Development",0.0,Economics and Econometrics,0.26842105263157895,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
467,T13805,Adolescent Health and Behaviors,0.03333333333333333,review,General Health Professions,0.0,Sociology and Political Science,0.31666666666666665,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
468,T13817,"Tannin, Tannase and Anticancer Activities",0.03333333333333333,review,Applied Microbiology and Biotechnology,0.0,Molecular Biology,0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
469,T13862,"Soil, Finite Element Methods",0.03333333333333333,review,Mechanics of Materials,0.09938461538461539,Mechanical Engineering,0.39753846153846156,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
470,T13865,Nationalism and Cultural Identity,0.03333333333333333,review,"Geography, Planning and Development",0.0,Economics and Econometrics,0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
471,T13968,Contemporary Cultural and Social Studies,0.03333333333333333,review,Social Psychology,0.0,Cultural Studies,0.24142011834319527,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
472,T14016,International Relations and Autism,0.03333333333333333,review,Urban Studies,0.0,Sociology and Political Science,0.35625,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
473,T14031,Global and Cross-Cultural Management,0.03333333333333333,review,Anthropology,0.0,Sociology and Political Science,0.2833333333333333,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
474,T14109,Scottish History and National Identity,0.03333333333333333,review,History,0.0,Literature and Literary Theory,0.26842105263157895,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
475,T14132,Medical Research and Islamic Perspectives,0.03333333333333333,review,Religious studies,0.0,Education,0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
476,T14159,Discourse Analysis and Cultural Communication,0.03333333333333333,review,Cultural Studies,0.0,Language and Linguistics,0.31666666666666665,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
477,T14164,Marine and Offshore Engineering Studies,0.03333333333333333,review,Ocean Engineering,0.0,Global and Planetary Change,0.2833333333333333,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
478,T14172,Cultural and Social Studies in Latin America,0.03333333333333333,review,Literature and Literary Theory,0.0,Sociology and Political Science,0.2833333333333333,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
479,T14293,Biotechnology and Related Fields,0.03333333333333333,review,"Public Health, Environmental and Occupational Health",0.0,Organizational Behavior and Human Resource Management,0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
480,T14310,Botany and Geology in Latin America and Caribbean,0.03333333333333333,review,"Ecology, Evolution, Behavior and Systematics",0.0,Ecology,0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
481,T14390,Real estate and construction management,0.03333333333333333,review,Architecture,0.0,"Management, Monitoring, Policy and Law",0.253416149068323,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
482,T14407,Athletic Training and Education,0.03333333333333333,review,"Physical Therapy, Sports Therapy and Rehabilitation",0.0,Sociology and Political Science,0.31666666666666665,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
483,T14432,Freedom of Expression and Defamation,0.03333333333333333,review,Law,0.3,Political Science and International Relations,0.6,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
484,T14456,Blasting Impact and Analysis,0.03333333333333333,review,Building and Construction,0.0,"Management, Monitoring, Policy and Law",0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
485,T14510,Medical Imaging and Analysis,0.03333333333333333,review,Biomedical Engineering,0.0,Artificial Intelligence,0.3,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
486,T10625,Herpesvirus Infections and Treatments,0.033333333333333326,review,Epidemiology,0.135,Infectious Diseases,0.38999999999999996,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
487,T10976,Viral gastroenteritis research and epidemiology,0.033333333333333326,review,Infectious Diseases,0.0894736842105263,Epidemiology,0.3578947368421052,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
488,T11228,Bat Biology and Ecology Studies,0.033333333333333326,review,"Ecology, Evolution, Behavior and Systematics",0.0,Ecology,0.3352941176470588,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
489,T12160,African cultural and philosophical studies,0.033333333333333326,review,Education,0.0,Literature and Literary Theory,0.3352941176470588,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
490,T13483,Herbal Medicine Research Studies,0.033333333333333326,review,Complementary and alternative medicine,0.05625,Plant Science,0.4125,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
491,T13829,"Health, Work, and Social Studies in Poland",0.033333333333333326,review,Social Psychology,0.15688073394495414,Economics and Econometrics,0.4532110091743119,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
492,T14121,Logistics and Transportation Systems,0.033333333333333326,review,Management Information Systems,0.0,Management of Technology and Innovation,0.3352941176470588,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
493,T10458,Bladder and Urothelial Cancer Treatments,0.03274853801169591,review,Surgery,0.0,Pulmonary and Respiratory Medicine,0.39666666666666667,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
494,T10529,Stress Responses and Cortisol,0.03274853801169591,review,Behavioral Neuroscience,0.0,Clinical Psychology,0.4307692307692308,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
495,T10712,Library Science and Information Literacy,0.03274853801169591,review,Library and Information Sciences,0.0,Information Systems,0.42690582959641254,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
496,T10756,Estrogen and related hormone effects,0.03274853801169591,review,Genetics,0.06923076923076923,Molecular Biology,0.5,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
497,T11419,Supramolecular Self-Assembly in Materials,0.03274853801169591,review,Biomaterials,0.0,Materials Chemistry,0.39666666666666667,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
498,T11662,Legal Cases and Commentary,0.03274853801169591,review,Reproductive Medicine,0.0,Political Science and International Relations,0.4307692307692308,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
499,T13041,Contemporary Social and Economic Issues,0.03274853801169591,review,General Social Sciences,0.0,Sociology and Political Science,0.4,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
500,T13561,Chemical Reactions and Isotopes,0.03274853801169591,review,Pharmaceutical Science,0.0,Organic Chemistry,0.4307692307692308,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
501,T14098,Energy Efficiency in Computing,0.03274853801169591,review,Hardware and Architecture,0.0,Computer Networks and Communications,0.4,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
502,T14185,"Research, Science, and Academia",0.03274853801169591,review,Information Systems and Management,0.0,Economics and Econometrics,0.4307692307692308,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
503,T11083,Cardiac Health and Mental Health,0.0327485380116959,review,Cardiology and Cardiovascular Medicine,0.0,Clinical Psychology,0.35,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
504,T12588,Electronic and Structural Properties of Oxides,0.0327485380116959,review,Materials Chemistry,0.075,"Electronic, Optical and Magnetic Materials",0.5416666666666666,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
505,T12983,Satellite Image Processing and Photogrammetry,0.0327485380116959,review,Ocean Engineering,0.0,Global and Planetary Change,0.4666666666666667,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
506,T13088,Legal and Labor Studies,0.0327485380116959,review,Industrial relations,0.0,Political Science and International Relations,0.509090909090909,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
507,T13531,Surface and Thin Film Phenomena,0.0327485380116959,review,"Atomic and Molecular Physics, and Optics",0.0,"Electronic, Optical and Magnetic Materials",0.4666666666666667,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
508,T14104,Developmental and Educational Neuropsychology,0.0327485380116959,review,Neuropsychology and Physiological Psychology,0.0,Education,0.4666666666666667,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
509,T14303,Polymer Synthesis and Characterization,0.0327485380116959,review,Polymers and Plastics,0.11875,Materials Chemistry,0.46875,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
510,T14519,Innovations in Education and Learning Technologies,0.03251633986928105,review,Information Systems,0.34201183431952664,Education,0.5775147928994083,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
511,T13868,Afro-Latin American Studies,0.03235294117647059,review,Cultural Studies,0.2571428571428571,Literature and Literary Theory,0.41428571428571426,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
512,T10439,Climate change impacts on agriculture,0.032352941176470584,review,"Ecology, Evolution, Behavior and Systematics",0.08888888888888889,General Agricultural and Biological Sciences,0.2518518518518518,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
513,T12260,Educational Technology and Pedagogy,0.032352941176470584,review,Artificial Intelligence,0.3202479338842975,Information Systems,0.45661157024793386,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
514,T11678,Healthcare Decision-Making and Restraints,0.03216374269005848,review,Clinical Psychology,0.0,"Public Health, Environmental and Occupational Health",0.55,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
515,T11687,Teleoperation and Haptic Systems,0.03216374269005848,review,Mechanical Engineering,0.0,Control and Systems Engineering,0.6043956043956044,9,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
516,T11693,Cryptography and Residue Arithmetic,0.03216374269005848,review,Information Systems,0.0,Artificial Intelligence,1.0,5,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
517,T11787,Oral and Maxillofacial Pathology,0.03216374269005848,review,Oral Surgery,0.0,Surgery,0.55,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
518,T11895,Social and Cultural Dynamics,0.03216374269005848,review,Sociology and Political Science,0.0989010989010989,Education,0.7032967032967032,9,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
519,T11914,PARP inhibition in cancer therapy,0.03216374269005848,review,Oncology,0.09,Molecular Biology,0.64,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
520,T11941,Power System Reliability and Maintenance,0.03216374269005848,review,"Safety, Risk, Reliability and Quality",0.0,Electrical and Electronic Engineering,0.5,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
521,T12040,International Arbitration and Investment Law,0.03216374269005848,review,Strategy and Management,0.09,Political Science and International Relations,0.64,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
522,T13264,Walter Benjamin Studies Compilation,0.03216374269005848,review,Philosophy,0.0,Visual Arts and Performing Arts,0.5,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
523,T13566,Global Educational Reforms and Inequalities,0.03216374269005848,review,Demography,0.0,Education,0.55,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
524,T14008,Balkan and Eastern European Studies,0.03216374269005848,review,Economics and Econometrics,0.0,Political Science and International Relations,0.55,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
525,T14184,Metallurgy and Material Science,0.03216374269005848,review,Materials Chemistry,0.09,Mechanical Engineering,0.64,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
526,T10404,Enzyme Catalysis and Immobilization,0.031578947368421054,review,Molecular Biology,0.0,Organic Chemistry,0.54,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
527,T11044,Particle Detector Development and Performance,0.031578947368421054,review,Nuclear and High Energy Physics,0.0,Electrical and Electronic Engineering,0.75,8,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
528,T13405,Educational Assessment and Improvement,0.031578947368421054,review,Information Systems and Management,0.0,Education,0.75,8,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
529,T13697,Biliary and Gastrointestinal Fistulas,0.031578947368421054,review,Pulmonary and Respiratory Medicine,0.0,Surgery,0.54,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
530,T10254,Innovations in Medical Education,0.03157894736842105,review,"Public Health, Environmental and Occupational Health",0.0,Education,0.6,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
531,T10391,Healthcare Policy and Management,0.03157894736842105,review,Economics and Econometrics,0.0,General Health Professions,0.6,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
532,T10492,Microtubule and mitosis dynamics,0.03157894736842105,review,Cell Biology,0.0,Molecular Biology,0.6,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
533,T11174,Pediatric Urology and Nephrology Studies,0.03157894736842105,review,"Pediatrics, Perinatology and Child Health",0.0,Surgery,0.6,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
534,T11281,Asymmetric Hydrogenation and Catalysis,0.03157894736842105,review,Inorganic Chemistry,0.0,Organic Chemistry,0.6,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
535,T12018,Coronary Artery Anomalies,0.03157894736842105,review,Pulmonary and Respiratory Medicine,0.0,Surgery,0.6,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
536,T13249,Dielectric properties of ceramics,0.03157894736842105,review,Materials Chemistry,0.1,Mechanical Engineering,0.7,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
537,T13253,Chemical Reactions and Mechanisms,0.03157894736842105,review,Physical and Theoretical Chemistry,0.1,Organic Chemistry,0.7,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
538,T12618,Botany and Plant Ecology Studies,0.0315359477124183,review,Plant Science,0.19227144203581525,Ecology,0.37417530631479734,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
539,T12638,Pomegranate: compositions and health benefits,0.0315359477124183,review,Nutrition and Dietetics,0.16094674556213018,Pathology and Forensic Medicine,0.3893491124260355,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
540,T13949,Belt and Road Initiative,0.03084795321637427,review,Economics and Econometrics,0.05496183206106871,Political Science and International Relations,0.3770992366412214,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
541,T12408,Educational Innovations and Challenges,0.03055555555555555,review,Information Systems,0.411875589066918,Education,0.588124410933082,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
542,T12873,"Nutrition, Health and Food Behavior",0.030263157894736843,review,Nutrition and Dietetics,0.0,"Public Health, Environmental and Occupational Health",0.3160305343511451,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
543,T14085,Student Stress and Coping,0.03026315789473684,review,Developmental and Educational Psychology,0.0,Social Psychology,0.3365853658536585,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
544,T12680,Cultural and Mythological Studies,0.030036630036630024,review,General Arts and Humanities,0.16894871199814343,Classics,0.24506846135994428,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
545,T14349,Global Political and Economic Relations,0.02957516339869281,review,Political Science and International Relations,0.13416149068322983,Economics and Econometrics,0.3590062111801242,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
546,T11007,Hybrid Renewable Energy Systems,0.029575163398692803,review,Energy Engineering and Power Technology,0.12203389830508475,"Renewable Energy, Sustainability and the Environment",0.32655367231638416,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
547,T10273,IoT and Edge/Fog Computing,0.028758169934640528,review,Computer Networks and Communications,0.08447204968944098,Information Systems,0.30310559006211185,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
548,T12091,Peatlands and Wetlands Ecology,0.028758169934640528,review,Ecology,0.06375,Atmospheric Science,0.4120833333333334,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
549,T12577,Geography and Environmental Studies,0.028758169934640528,review,Water Science and Technology,0.09877675840978592,"Management, Monitoring, Policy and Law",0.354434250764526,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
550,T13420,Arduino and IoT Applications,0.028758169934640528,review,Electrical and Electronic Engineering,0.04650455927051672,Computer Networks and Communications,0.30060790273556237,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
551,T10062,MicroRNA in disease regulation,0.028758169934640525,review,Cancer Research,0.09444444444444444,Molecular Biology,0.3388888888888889,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
552,T10676,"Genetics, Aging, and Longevity in Model Organisms",0.028758169934640525,review,Aging,0.0,Molecular Biology,0.25565749235474006,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
553,T11251,Meningioma and schwannoma management,0.028758169934640525,review,Epidemiology,0.11099656357388316,Surgery,0.3982817869415808,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
554,T12257,Bioactive natural compounds,0.028758169934640525,review,Molecular Biology,0.1285714285714286,Pharmacology,0.3380952380952381,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
555,T12390,Comics and Graphic Narratives,0.028758169934640525,review,Visual Arts and Performing Arts,0.10800000000000001,Literature and Literary Theory,0.28400000000000003,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
556,T12457,Ecocriticism and Environmental Literature,0.028758169934640525,review,Literature and Literary Theory,0.09444444444444444,Global and Planetary Change,0.3388888888888889,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
557,T12941,Embedded Systems and FPGA Design,0.028758169934640525,review,Control and Systems Engineering,0.0,Electrical and Electronic Engineering,0.37488789237668163,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
558,T13003,Regional Development and Environment,0.028758169934640525,review,Sociology and Political Science,0.09444444444444444,Economics and Econometrics,0.3388888888888889,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
559,T13035,Human Rights and Development,0.028758169934640525,review,Sociology and Political Science,0.2833333333333333,Political Science and International Relations,0.5277777777777778,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
560,T13045,Industrial Engineering and Technologies,0.028758169934640525,review,Mechanical Engineering,0.09444444444444444,"Management, Monitoring, Policy and Law",0.3388888888888889,10,c40c446d67677ec9cd52894674fdbe8fd0fcc99a53d29111368043c09db08409
